id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
10	0	-0.761	0.3585	3	203	577	52	2021.6538	49.4615	1.9506
47	3-d placement	1.1677	-0.3597	2	62	84	8	2021.125	51.5	1.9093
92	5g	0.1856	0.3147	3	560	3044	328	2021.8384	49.2317	1.8403
111	5g mobile communication	0.2629	0.1385	3	418	1572	136	2021.9338	44.3529	1.5825
119	5g networks	0.1908	0.5909	3	160	296	28	2021.3929	76.75	1.6789
153	6g	0.3065	0.2626	3	324	1065	91	2023.033	51.9011	2.8334
160	6g mobile communication	0.399	0.1038	3	241	688	55	2022.7273	49.6364	2.5554
208	acceleration	-0.0999	-0.5439	1	115	164	20	2022.35	23.7	1.4285
212	accelerator	-0.5792	-0.7995	1	71	104	12	2021.6667	26.0833	1.0267
220	access	0.6486	0.0278	2	273	726	78	2021.6026	42.8846	1.2755
223	access control	-1.0237	0.3195	4	172	526	60	2021.9833	28.3333	0.9678
240	access-control	-1.1323	0.2782	4	153	372	39	2022.1282	43.5385	1.644
247	accidents	-0.1707	0.0581	1	57	78	7	2022.4286	45.8571	1.1945
255	accuracy	-0.0191	-0.6827	1	321	1005	102	2024.5196	2.049	0.4789
278	acoustics	-0.4429	-0.843	1	64	92	13	2023.8462	4.6923	0.2525
310	activity recognition	-0.7873	-0.5634	1	99	178	36	2019.3333	40.8889	0.7878
321	actuators	-0.0842	0.1957	3	62	77	7	2021.5714	13.5714	0.6607
329	ad hoc networks	-0.0334	0.3811	3	161	285	24	2021.4583	29.375	0.8835
341	adaptation models	0.0614	-0.6774	1	261	842	79	2023.4557	15.481	0.9817
441	admission control	0.9949	0.133	2	59	84	8	2021.875	15	0.9615
442	admm	1.2171	0.2541	2	70	113	13	2021.7692	43.6923	1.6749
492	aerial computing	1.0984	0.2424	2	108	211	16	2024.0625	15.5625	1.5866
531	age	0.7744	-0.3556	2	143	346	32	2023.1875	12.9062	0.9299
534	age of information	0.8325	-0.2998	2	118	238	31	2023.3226	11.8065	0.8194
535	age of information (aoi)	0.8377	-0.3733	2	131	308	28	2023.3929	10.7143	0.8906
554	aggregation	-0.4945	0.19	4	129	233	30	2021.9	21.7333	0.9457
577	agriculture	-0.7611	-0.2053	1	113	250	29	2021.5862	43.6207	1.1674
589	ai	-0.3914	-0.0103	3	216	530	52	2022.9231	36.8846	1.9037
622	aiot	-0.464	-0.2228	1	49	76	12	2022.6667	13.8333	0.7473
673	algorithm	0.2083	0.1465	5	559	2829	383	2022.0261	22.2977	0.9715
684	algorithms	0.0248	0.0219	5	299	755	93	2021.5376	27.2581	1.3655
692	allocation	0.5951	0.2932	2	590	3810	436	2022.5642	24.4427	1.076
709	altitude	1.1493	-0.1057	2	75	109	10	2022.9	24.2	1.4882
761	analytical models	0.1812	-0.4241	1	147	320	35	2022.6	10.8	0.6388
765	analytics	-0.3852	0.0378	1	228	590	69	2021.6087	42.9565	1.322
830	anomaly detection	-0.7897	-0.332	1	255	725	103	2022.4272	23.6214	1.143
837	anonymity	-1.0513	0.5467	4	56	104	14	2021.5	14.3571	0.4632
840	anonymous authentication	-1.2093	0.0803	4	49	81	9	2022.1111	9.1111	0.2588
852	ant colony optimization	0.4138	0.403	5	84	111	15	2021.8667	16.6667	0.5903
914	application placement	0.213	0.8464	5	82	143	13	2022.3077	63.3846	2.2297
949	approximate computing	-0.1848	-0.8649	1	88	153	19	2021.9474	18.6316	0.8802
955	approximation algorithm	0.7452	-0.2107	2	55	79	9	2022.3333	19.8889	0.9264
956	approximation algorithms	0.7664	-0.102	2	212	481	45	2022.4889	22.8444	1.1455
967	ar	-0.2451	0.6348	3	70	90	7	2021.4286	36.5714	1.3215
979	architecture	-0.2476	0.4202	3	630	3919	412	2021.6019	51.3447	1.4523
982	architectures	-0.4284	0.1082	3	168	296	29	2022.2069	42.7586	1.8857
1007	array signal processing	1.0479	-0.724	2	134	389	32	2023.3125	16.5312	0.9276
1026	artificial intelligence	-0.3785	-0.2572	1	575	3008	324	2022.5957	45.9969	1.9374
1027	artificial intelligence (ai)	-0.4365	-0.1151	1	303	778	69	2022.4928	58.913	2.7183
1038	artificial intelligence of things (aiot)	0.1654	-0.7532	1	71	114	15	2023.6667	13.8667	1.4561
1050	artificial neural networks	-0.0403	-0.6261	1	168	316	33	2022.8182	32.5455	0.8516
1061	artificial-intelligence	-0.4794	0.0093	3	250	652	66	2022.7879	43.5758	2.595
1063	as-a-service	-0.4956	0.519	3	56	84	8	2021.125	134.625	2.4342
1079	assignment	0.8941	0.0911	2	133	247	30	2021.7	51.5	1.103
1090	association	0.4755	-0.3524	2	134	239	24	2022.4167	35.0833	1.3624
1122	atmospheric modeling	0.4111	-0.6749	2	70	88	9	2023	20.2222	0.808
1129	attack	-0.9168	0.3136	4	85	156	21	2021.8095	12.4762	1.0448
1130	attack detection	-1.0141	-0.0165	4	81	156	17	2022.3529	37.1765	2.338
1144	attacks	-0.7115	0.2819	4	209	507	60	2022.0333	41.3667	1.4925
1148	attention mechanism	-0.0067	-0.4615	1	62	83	15	2023.2667	22.1333	1.9962
1171	attribute-based encryption	-1.2437	0.2386	4	63	196	28	2022.2143	16.9286	0.6579
1183	auction	0.2958	0.1805	4	103	175	23	2021.913	27.2174	0.998
1212	augmented reality	-0.5132	-0.043	3	115	209	21	2021.9048	42.1429	1.1584
1224	authentication	-0.9298	0.1888	4	368	1831	226	2022.1681	31.7743	1.1589
1233	authentication protocol	-0.9426	0.3849	4	85	145	15	2022	13.2	1.184
1234	authentication scheme	-0.7826	0.477	4	121	215	21	2021.5714	58.381	1.9088
1237	authorization	-1.4554	-0.0067	4	43	82	8	2022	25.125	0.7556
1248	autoencoder	-0.7048	-0.6642	1	66	94	12	2022.5833	20.6667	0.8174
1290	automation	-0.4901	0.4133	3	152	281	27	2022.5926	14.7407	0.8785
1294	automobiles	-0.0399	0.0524	1	102	160	14	2022.2857	27.1429	1.1902
1305	autonomous aerial vehicle (aav)	0.7778	-0.2929	2	59	90	7	2025	0.8571	0.8237
1309	autonomous aerial vehicles	1.0447	-0.2349	2	419	2602	205	2024.0439	10.9317	1.4646
1320	autonomous driving	0.1007	-0.1863	1	83	117	13	2021.6154	54	1.7452
1340	autonomous vehicles	0.0722	-0.2297	1	182	331	37	2022.8108	17.4324	1.0607
1354	availability	-0.6503	0.8083	3	75	143	19	2020.7895	44.1579	0.846
1371	aware	0.1264	0.6335	5	228	593	72	2022.7361	22.5	1.1643
1417	backscatter	0.6864	-0.6582	2	87	162	19	2023.0526	14.1579	0.929
1445	bandwidth	0.4668	-0.1802	6	307	1016	94	2022.5426	30.0532	1.181
1446	bandwidth allocation	0.5453	0.0422	3	99	152	17	2022.3529	16.3529	1.087
1468	base stations	0.9305	0.3965	2	163	383	34	2022.1471	44.2353	1.8678
1478	batch verification	-0.7784	0.5171	4	67	98	9	2022.8889	13.4444	1.6647
1481	batteries	0.4964	-0.5433	2	212	510	44	2022.3409	25.3636	1.35
1503	bayes methods	0.0702	-0.4279	1	73	101	11	2022.7273	11.7273	0.4474
1557	behavior	-0.4812	-0.4219	1	50	70	16	2020.875	27.1875	0.5562
1564	behavioral sciences	-0.3508	-0.11	1	73	102	10	2023.1	13.8	1.1035
1572	benchmark testing	-0.273	-0.8041	1	70	88	11	2021.7273	6.5455	0.3505
1621	big data	-0.5868	0.1457	3	517	2500	286	2021.1119	53.1154	1.6399
1625	big data analytics	-0.6557	0.1772	3	200	424	39	2021.6923	58.359	1.8216
1636	big-data	-0.3887	0.5854	3	63	77	9	2022	55.5556	1.9596
1689	biological system modeling	-0.1711	-0.4008	1	134	269	28	2023.1786	19	0.9003
1695	biomedical monitoring	-0.7012	-0.7236	1	104	179	19	2022.8421	29.5789	1.5476
1764	blockchain	-0.6181	0.4692	4	658	6106	700	2022.3529	39.9943	1.6711
1787	blockchain technology	-1.0407	0.1673	4	67	101	13	2022.2308	75.6154	2.774
1800	blockchains	-0.6679	0.4983	4	364	1789	152	2023.2237	17.0526	1.3779
1812	bluetooth	-0.0073	-0.7332	1	67	98	14	2021.6429	18.1429	0.7927
1849	botnet	-0.5316	0.14	6	60	94	9	2022	58.5556	3.3838
1931	buildings	0.0075	-0.3433	1	93	127	14	2022.5714	21.4286	1.1715
1966	cache	0.2293	0.2205	6	59	85	11	2022	56.5455	1.6452
1988	caching	0.2119	0.6508	3	168	347	35	2021.8	54.2	1.9049
2003	calibration	-0.2137	-0.9466	1	63	88	12	2022.5	14.3333	0.5199
2012	cameras	-0.1316	-0.7599	1	184	470	59	2022.2712	17.7627	0.7233
2030	capacity	0.6402	-0.6444	2	58	71	12	2020.75	18.4167	0.8502
2061	care	-0.9974	-0.2625	1	68	120	18	2021.1667	31.5	1.1903
2122	cellular network	0.2806	0.0662	3	63	76	8	2021.75	25.375	1.2225
2123	cellular networks	0.3389	-0.0235	2	219	441	38	2021.4211	137.9211	2.6234
2172	challenges	-0.2727	0.1958	3	686	4391	465	2021.7935	39.9247	1.5125
2179	channel	0.6419	-0.412	2	117	194	28	2021.5357	24.4643	0.9402
2181	channel allocation	0.917	-0.2766	2	82	135	13	2022.2308	26.8462	1.0652
2190	channel estimation	0.9816	-0.596	2	111	163	20	2023.15	9.7	0.5639
2288	cities	-0.6982	0.3554	3	87	170	19	2020.4211	31.2105	0.8688
2291	city	-0.8673	-0.1641	1	92	158	22	2021.0455	59.5	1.945
2305	classification	-0.6392	-0.4774	1	284	755	113	2021.7876	34.885	1.2159
2307	classification algorithms	-0.6033	-0.5012	1	89	123	10	2022.7	17.5	1.0821
