id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
15360	asia s pacif des aut	-0.5268	0.6336	3	519	6083	99
15371	asia-pac netw oper m	0.772	-0.3385	2	557	6270	113
15724	automat constr	-0.7035	-0.3219	1	605	10956	273
15764	automatica	-0.1694	0.3092	1	437	4097	115
16438	big data internet th	0.5549	-0.3626	2	582	6791	127
16440	big data min anal	0.1334	0.0859	1	453	5256	131
16451	big data res	-0.1944	-0.1414	1	538	3437	51
16599	biomed signal proces	-0.6909	0.1679	1	509	6149	136
16647	biosens bioelectron	-1.2238	0.4318	3	335	3899	51
16656	biosyst eng	-0.6783	-0.3315	1	467	5395	110
16692	bitcoin peer to peer	0.6447	-0.2004	2	343	1859	51
16695	bitcoin: a peer-to-peer electronic cash system	-0.0734	-0.5414	1	488	4015	85
16949	bmc bioinformatics	-0.4067	0.1302	1	428	2248	55
17238	build environ	-0.7862	-0.244	1	488	5784	120
17352	bus horizons	-0.3714	-0.4987	1	577	4686	82
17353	bus inform syst eng+	-0.1978	-0.3733	1	556	4163	63
17448	c local comput netw	0.6982	-0.0782	2	644	9497	198
17495	caai t intell techno	-0.4164	-0.1088	1	478	3525	65
17579	can con el comp en	-0.2412	-0.3156	1	508	3206	51
17825	ccs'15: proceedings of the 22nd acm sigsac conference on computer and communications security	0.1556	0.429	2	546	5097	98
17826	ccs'16: proceedings of the 2016 acm sigsac conference on computer and communications security	0.3742	0.3866	2	547	6046	110
17827	ccs'17: proceedings of the 2017 acm sigsac conference on computer and communications security	0.2868	0.5893	2	571	7172	136
18004	chaos soliton fract	-0.7155	0.0984	1	426	5200	76
18133	chin contr conf	-0.3419	-0.1784	1	498	2955	56
18194	china commun	1.0985	-0.3236	4	741	54697	970
18303	chinese j electron	0.5294	0.4984	2	521	5934	154
18442	cirp ann-manuf techn	-0.7021	-0.6203	1	458	5282	73
18475	cisc vis netw ind gl	0.818	-0.0761	2	618	12012	225
18553	cit/iucc/dasc/picom 2015 ieee international conference on computer and information technology - ubiquitous computing and communications - dependable	0.4697	-0.456	2	526	5032	69
18558	cities	-0.4373	-0.4115	1	518	4033	75
18906	cluster comput	-0.0514	-0.7944	1	743	57987	1039
18927	cmc-comput mater con	-0.2869	-0.3985	1	683	15653	385
19181	comm com inf sc	-0.0748	-0.3172	1	703	11686	219
19234	commun acm	0.1261	0.1947	2	755	43382	902
19485	complex intell syst	-0.4135	-0.5039	1	623	8139	144
19492	complexity	-0.3149	-0.4729	1	634	7896	166
19551	comput biol med	-0.7272	0.1519	1	408	4978	97
19559	comput commun	0.301	-0.6802	5	758	128421	2178
19573	comput electr eng	-0.2465	-0.5595	1	749	46581	815
19574	comput electron agr	-0.6586	-0.2873	1	659	28878	588
19588	comput hum behav	-0.5834	-0.2013	1	483	3479	68
19589	comput ind	-0.5312	-0.6521	1	698	20889	311
19590	comput ind eng	-0.5794	-0.4314	1	695	14497	278
19594	comput intel neurosc	-0.6314	-0.2157	1	615	7494	173
19599	comput j	0.2349	-0.1941	2	614	7275	194
19612	comput meth prog bio	-0.6528	0.1329	1	532	4268	99
19619	comput netw	0.3753	-0.6406	2	758	180772	3144
19624	comput oper res	-0.0319	-0.1928	1	518	4066	106
19637	comput sci eng	-0.1399	0.0906	2	435	2764	55
19638	comput sci inf syst	0.1188	-0.3109	1	414	2655	52
19642	comput sci rev	-0.2797	-0.7094	1	674	14835	215
19645	comput secur	0.009	-0.5611	1	721	40438	731
19651	comput stand inter	0.2434	-0.6586	2	659	12332	199
19665	comput vis image und	-0.304	0.4491	1	445	2917	64
19676	comput-aided civ inf	-0.7221	0.1922	1	391	3395	75
19805	computer	0.2984	-0.1107	2	757	70799	1408
19973	computers	-0.499	-0.3474	1	608	6459	111
19997	computing	0.0957	-0.6921	1	683	17074	286
20064	concurr comp-pract e	0.1959	-0.6199	1	743	34049	617
20105	conf proc int symp c	-0.3317	0.7498	3	545	6374	139
20107	conf rec asilomar c	0.3976	0.8074	4	500	5729	91
20262	consum comm network	0.4334	-0.2209	2	689	15575	230
20359	continuous control with deep reinforcement learning	1.2704	1.0828	4	287	2383	56
20453	convex optimization	1.5699	0.8348	4	488	11286	331
20545	corr	0.3545	0.1794	2	620	9402	172
21131	cvx: matlab software for disciplined convex programming	1.9739	0.9198	4	220	2502	68
21505	data min knowl disc	-0.1812	0.354	1	371	1735	52
21763	decis support syst	-0.1028	-0.3165	1	572	4542	100
22119	des aut con	-0.4791	0.5224	3	679	13324	242
22120	des aut test europe	-0.4605	0.6208	3	660	14207	258
22468	digit commun netw	0.1197	-0.6813	1	747	45376	789
22477	digit signal process	-0.494	0.3994	1	459	3152	68
23178	drones-basel	-0.1341	-0.9621	4	526	13690	170
23393	eai springer innovat	0.0129	-0.568	1	527	4975	73
23570	econometrica	0.9359	0.3717	4	348	2593	59
23949	egypt inform j	-0.2194	-0.769	1	439	3603	70
24081	electr pow syst res	-1.0816	-0.6609	1	435	9296	105
24134	electron lett	-0.467	0.5221	3	544	5654	136
24173	electronics-switz	-0.4777	-0.2907	1	755	81663	1480
24558	energ buildings	-0.802	-0.4919	1	553	9680	206
24560	energ convers manage	-0.9926	-0.3624	1	426	6337	92
24567	energ policy	-0.8376	-0.626	1	368	3194	54
24572	energies	-0.8405	-0.5467	1	725	40678	672
24573	energy	-0.9396	-0.4838	1	616	13097	220
24660	energy rep	-0.9923	-0.6396	1	458	8373	109
24690	eng appl artif intel	-0.602	-0.1519	1	726	21883	385
24726	eng sci technol	-0.5933	-0.6007	1	473	3590	54
24731	eng struct	-0.9648	0.1453	1	219	1884	52
24781	engineering-prc	-0.5837	-0.0212	1	586	7339	112
24825	enrgy proced	-0.9815	-0.4766	1	411	3057	59
24850	enterp inf syst-uk	-0.2813	-0.7021	1	591	8444	149
24869	entropy-switz	-0.2529	-0.1178	1	646	8319	146
24923	environ sci pollut r	-0.8413	-0.4203	1	364	2439	63
25346	eur conf netw commun	1.0688	-0.529	4	581	11954	128
25392	eur j oper res	-0.1617	-0.1563	1	648	9454	237
25435	eur signal pr conf	-0.1464	0.3554	1	448	2245	53
25468	eurasip j adv sig pr	0.1674	0.2197	1	478	3139	68
25478	eurasip j wirel comm	0.5845	-0.5568	4	729	31048	532
25510	euromicro workshop p	0.3156	-0.0021	2	468	2714	54
25587	eurosys 11: proceedings of the eurosys 2011 conference	0.8577	0.0786	2	430	3343	90
25784	expert syst	-0.6958	-0.1396	1	488	3444	62
25785	expert syst appl	-0.4311	-0.0873	1	748	49507	1011
26887	found trends mach le	0.3691	0.8343	3	576	7268	153
26891	found trends theor c	-0.0832	0.5013	2	422	2713	50
27082	front comput sci-chi	0.1712	-0.1702	2	509	3942	82
27104	front inform tech el	-0.0926	-0.3454	1	540	4618	83
27121	front neurosci-switz	-0.8863	0.6851	3	426	3821	93
27329	future gener comp sy	0.2443	-0.54	2	758	363439	6804
27330	future gener comput	0.3473	-0.3426	2	381	2383	56
27349	future internet	-0.1568	-0.4689	1	747	37080	559
27465	game econ behav	1.4163	0.1216	2	299	2382	67
27983	glob telecomm conf	0.5683	0.1522	4	443	3392	72
29118	heliyon	-0.671	-0.3866	1	587	5973	90
29230	high-confid comput	-0.1063	-0.1674	1	448	3654	56
29608	hum-cent comput info	-0.002	-0.5857	1	586	6491	136
29785	i c comp syst applic	0.2939	-0.4164	2	501	3735	74
29790	i c depend sys netwo	0.2822	0.1302	2	451	2924	64
29798	i c inf comm tech co	0.7583	-0.2225	4	652	12045	196
29803	i c network protocol	0.7821	0.2614	2	524	5042	97
29837	i s world wirel mobi	0.8774	-0.0164	2	518	5236	93
29842	i symp consum electr	0.0299	-0.6584	1	500	3509	59
29843	i sympos low power e	-0.205	0.4746	3	460	2931	61
30051	iccad-ieee acm int	-0.5286	0.6266	3	596	7254	109
30280	ict express	-0.2164	-0.5405	1	686	15970	267
30472	ieee 2018 international congress on cybermatics / 2018 ieee conferences on internet of things	0.3813	-0.5619	2	432	3575	69
30554	ieee access	0.1384	-0.3796	1	758	1028526	18021
30562	ieee acm int symp	0.6585	-0.324	2	618	8265	149
30566	ieee acm t comput bi	-0.4127	-0.0003	1	567	4743	106
30569	ieee acm t network	1.0557	0.3129	2	742	107484	2406
30585	ieee antenn wirel pr	-0.551	0.6898	3	351	3978	85
30619	ieee c evol computat	-0.0855	-0.2402	1	546	4952	104
30636	ieee circ syst mag	-0.6779	0.5541	3	477	3151	62
30640	ieee cloud comput	0.6102	-0.5113	2	722	33991	577
30649	ieee commun lett	1.3264	0.4645	4	745	98983	1911
30650	ieee commun mag	0.809	-0.1774	2	758	353798	6504
30654	ieee commun surv tut	0.7997	-0.1225	4	758	506564	8262
30675	ieee communications standards magazine	0.8757	-0.0728	4	667	19642	267
30686	ieee comput intell m	-0.0133	0.4316	3	600	6016	108
30689	ieee comput soc conf	-0.3563	0.7627	3	565	9852	178
30707	ieee conf comm netw	0.4461	-0.1597	2	499	4088	77
30709	ieee conf comput	1.0622	0.0662	2	721	35785	650
30716	ieee conf wirel mob	0.2922	-0.3286	2	562	6151	115
30729	ieee consum electr m	0.1864	-0.296	2	741	30013	585
30751	ieee data mining	-0.0973	0.5209	3	529	4859	104
30754	ieee decis contr p	0.078	0.2982	1	534	4798	104
30756	ieee des test	-0.5387	0.4894	3	476	2973	58
30771	ieee electr device l	-1.4308	0.8725	3	242	7950	112
30779	ieee embed syst lett	-0.4283	0.5133	3	430	2579	50
30786	ieee eng med bio	-0.606	0.3007	1	612	9057	185
30806	ieee geosci remote s	-0.5455	0.2557	1	437	3287	74
30812	ieee glob comm conf	1.1114	-0.041	4	747	95140	1579
30827	ieee global communic	1.2791	0.1863	4	415	3523	53
30835	ieee globe work	1.0757	0.0277	4	693	20478	314
30862	ieee i conf comp vis	-0.2609	0.8885	3	713	31617	625
30864	ieee ic comp com net	0.6253	-0.1072	2	569	6204	120
30867	ieee icc	0.9651	0.1235	4	755	105784	1843
30890	ieee ifip netw oper	0.7612	-0.4542	2	583	8273	123
30892	ieee ijcnn	-0.4497	0.4852	3	695	15126	247
30893	ieee image proc	-0.2126	0.6618	3	592	8022	182
30895	ieee imtc p	-0.3174	0.1069	1	516	3924	71
30899	ieee ind elec	-0.2365	-0.3487	1	621	6905	111
30900	ieee ind electron m	-0.523	-0.4675	1	619	8711	162
30902	ieee infocom	1.0589	-0.0867	2	453	3809	89
30923	ieee infocom 2019 - ieee conference on computer communications	1.2616	0.2693	2	337	2877	59
30938	ieee infocom ser	0.8186	0.492	2	746	125254	3011
30975	ieee int c communica	1.2871	-0.0898	4	582	10322	158
31003	ieee int c emerg	-0.2267	-0.6736	1	543	6542	116
31024	ieee int c int robot	-0.1198	0.6602	3	539	5757	89
31026	ieee int c intell tr	-0.1301	0.4511	1	590	8255	147
31070	ieee int con multi	0.0596	0.5729	3	515	3579	57
31078	ieee int conf big da	0.0117	0.1162	2	718	17054	284
31079	ieee int conf cl net	0.9349	-0.4256	2	588	9511	153
31080	ieee int conf cloud	0.6461	-0.2859	2	633	10305	189
31081	ieee int conf comm	1.0766	0.1415	4	706	24599	375
31082	ieee int conf commun	1.4662	-0.0321	4	562	12469	197
31086	ieee int conf distr	-0.0757	0.0469	1	597	5256	91
31101	ieee int conf mob	0.4609	-0.0483	2	656	8982	156
31102	ieee int conf mob cl	0.8747	-0.3808	2	568	8472	147
31110	ieee int conf robot	-0.1232	0.7397	3	597	12478	159
31111	ieee int conf sens	0.5985	0.0783	2	567	5280	96
31113	ieee int conf serv	0.4723	-0.4309	2	514	3996	74
31116	ieee int conf trust	0.3632	0.1095	2	466	3486	70
31119	ieee int congr big	0.2588	-0.071	2	505	3249	69
31170	ieee int symp circ s	-0.6318	0.6156	3	640	10766	188
31174	ieee int symp info	1.0999	0.6499	4	588	15252	357
31177	ieee int symp paral	0.4193	-0.0191	2	592	7757	126
31190	ieee int veh sym	-0.0817	0.6096	3	585	8168	119
31193	ieee int work sign p	1.4719	0.5347	4	501	8597	123
31201	ieee int worksh comp	0.6782	-0.5129	2	548	6059	84
31220	ieee intel transp sy	0.0282	0.1765	1	560	6059	115
31221	ieee intell syst	0.0975	0.1813	2	693	13756	207
31267	ieee internet comput	0.4615	-0.4785	2	742	38187	661
31274	ieee internet of things journal	0.6231	-0.8233	4	526	5993	91
31277	ieee internet of things magazine	-0.0208	-0.7413	1	637	13188	210
31280	ieee internet things	0.6591	0.0143	4	758	1309905	27743
31281	ieee internet things j	0.0697	-1.0951	4	429	5356	72
31282	ieee internet things j.	0.8088	-0.3811	4	507	6202	105
31290	ieee intl conf ind i	-0.3256	-0.5885	1	536	6082	103
31297	ieee ipccc	0.5946	0.0632	2	500	3614	65
31304	ieee j biomed health	-0.5795	0.1983	1	701	19017	417
31310	ieee j em sel top c	-0.7274	0.6113	3	608	7298	129
31324	ieee j sel area comm	1.2363	0.4378	4	756	312470	6241
31331	ieee j solid-st circ	-0.9196	0.7307	3	554	16049	334
31333	ieee j-stars	-0.6371	0.2364	1	507	6269	114
31334	ieee j-stsp	0.6279	0.8861	4	696	22334	429
31357	ieee lat am t	-0.493	-0.4807	1	490	3192	79
31371	ieee micro	-0.6002	0.6969	3	544	6919	121
31376	ieee milit commun c	0.6231	-0.1521	2	605	7323	125
31384	ieee multimedia	0.166	0.3851	3	512	5783	84
31399	ieee network	0.8218	0.0801	4	756	271516	4739
31400	ieee networking letters	1.1325	0.4791	4	465	4994	86
31412	ieee open j comm soc	1.2126	-0.0677	4	667	23756	273
31414	ieee open j comp soc	0.5464	0.6155	4	553	8542	110
31423	ieee open j veh tech	1.6851	0.0511	4	416	5745	72
31450	ieee pervas comput	0.4717	-0.0456	2	744	32982	616
31467	ieee potentials	0.3957	-0.3909	2	493	3508	58
31502	ieee robot autom let	-0.2696	0.4097	3	600	8714	128
31527	ieee secur priv	0.1263	-0.4302	2	639	9781	162
31532	ieee sens j	-0.6545	0.0803	1	757	81190	1568
31535	ieee sensor	-0.3872	0.1544	1	551	3474	78
31536	ieee sensor lett	-0.6887	0.0935	1	469	3712	58
31550	ieee signal proc let	-0.0216	0.6993	4	633	10539	239
31551	ieee signal proc mag	0.1871	0.6876	3	743	30798	523
31562	ieee software	0.1438	-0.4454	2	608	7397	161
31573	ieee spectrum	-0.469	0.2458	3	573	4987	79
31651	ieee symp comp commu	0.3723	-0.4197	2	651	9863	198
31660	ieee sys man cybern	-0.0807	-0.2106	1	664	8949	169
31661	ieee syst j	0.2823	-0.6808	4	752	74304	1433
31673	ieee t aero elec sys	0.4161	0.9548	4	482	8049	179
31676	ieee t affect comput	-0.4171	0.4429	1	336	1984	52
31677	ieee t antenn propag	-0.4598	0.6789	3	497	8299	150
31683	ieee t autom sci eng	-0.2782	0.022	1	665	14596	333
31684	ieee t automat contr	0.1058	0.3372	1	630	11633	283
31687	ieee t big data	0.2201	0.2866	2	651	10740	202
31688	ieee t bio-med eng	-0.7149	0.3873	1	575	8769	214
31690	ieee t biomed circ s	-0.7095	0.4846	3	482	5139	120
31691	ieee t broadcast	0.8783	0.6216	4	512	8222	137
31693	ieee t circ syst vid	-0.073	0.6695	3	693	17063	338
31698	ieee t circuits-i	-0.8028	0.6546	3	620	11036	243
31699	ieee t circuits-ii	-0.7273	0.6579	3	546	6871	162
31701	ieee t cloud comput	0.9899	-0.266	2	733	78615	1663
31704	ieee t cogn commun	1.3991	0.3751	4	715	58927	945
31708	ieee t commun	1.5014	0.5935	4	751	187075	3959
31715	ieee t comput	0.3071	0.4338	3	747	49786	1101
31716	ieee t comput aid d	-0.5434	0.6111	3	702	20453	392
31722	ieee t comput soc sy	0.3174	-0.0654	1	702	21804	468
31727	ieee t consum electr	-0.3049	-0.084	1	709	18807	488
31729	ieee t contr syst t	-0.6047	-0.0942	1	479	3846	86
31733	ieee t cybernetics	0.0067	0.3418	1	715	24319	525
31736	ieee t depend secure	0.4577	0.018	2	732	38569	901
31742	ieee t electron dev	-1.3836	0.8634	3	251	11300	173
31743	ieee t em top comp i	0.2292	0.3721	4	566	7997	135
31745	ieee t emerg top com	0.6516	0.0647	2	741	37199	722
31750	ieee t eng manage	-0.1586	-0.7347	1	520	5146	101
31752	ieee t evolut comput	0.139	0.0221	1	630	17086	459
31754	ieee t fuzzy syst	-0.1329	0.1978	1	538	5830	145
31757	ieee t geosci remote	-0.4436	0.3948	1	568	7221	175
31758	ieee t green commun	1.3364	0.04	4	728	47922	867
31762	ieee t hum-mach syst	-0.2025	0.5721	1	424	3640	70
31764	ieee t image process	-0.2738	0.7894	3	636	14890	347
31766	ieee t ind appl	-0.8888	-0.5737	1	559	6999	123
31770	ieee t ind electron	-0.7659	-0.1964	1	727	23754	516
31772	ieee t ind inform	0.1867	-0.4984	1	758	382568	7771
31777	ieee t inf foren sec	0.3369	0.3366	2	747	60544	1274
31779	ieee t inf technol b	-0.4216	0.0923	1	500	4681	85
31781	ieee t inform theory	0.8942	0.7094	4	707	37973	842
31782	ieee t instrum meas	-0.8959	0.15	1	701	22977	459
31784	ieee t intell transp	0.2904	0.4954	4	754	193821	3734
31787	ieee t intell vehicl	-0.1015	0.8277	4	513	8177	188
31791	ieee t knowl data en	0.0247	0.335	1	747	34619	685
31795	ieee t med imaging	-0.5829	0.4991	1	408	3150	61
31797	ieee t microw theory	-0.5212	0.6016	3	383	3302	69
31802	ieee t mobile comput	0.9612	0.553	4	756	272312	5952
31805	ieee t multi-scale c	-0.5361	0.3231	3	504	3130	54
31808	ieee t multimedia	0.3069	0.5969	3	721	25829	517
31814	ieee t netw sci eng	0.9155	0.4559	4	747	84045	1567
31816	ieee t netw serv man	1.1066	-0.4038	4	743	102582	1811
31822	ieee t neur net lear	-0.2842	0.5931	3	742	36733	722
31823	ieee t neur sys reh	-0.6235	0.3119	1	354	2447	72
31826	ieee t neural networ	-0.3888	0.5038	3	559	5339	139
31829	ieee t parall distr	0.8173	0.2011	2	747	141274	2965
31834	ieee t pattern anal	-0.3056	0.7237	3	722	32101	780
31837	ieee t power deliver	-0.8822	-0.5564	1	400	3042	65
31838	ieee t power electr	-0.9812	-0.3997	1	506	6190	115
31839	ieee t power syst	-0.7675	-0.5843	1	563	10797	232
31845	ieee t reliab	-0.1242	-0.0251	1	630	8415	164
31846	ieee t robot	-0.1258	0.6342	3	422	3994	73
31850	ieee t serv comput	0.8644	-0.2885	2	746	96104	1896
31855	ieee t signal inf pr	1.1873	0.2574	4	582	10456	240
31856	ieee t signal proces	0.555	0.9166	4	720	38426	863
31858	ieee t smart grid	-0.8195	-0.6161	1	712	48458	831
31861	ieee t software eng	0.1683	-0.1096	2	535	5101	112
31863	ieee t sust comput	0.447	-0.5135	5	678	15929	324
31865	ieee t sustain energ	-0.9922	-0.5492	1	399	3663	70
31869	ieee t syst man cy b	0.0365	0.2285	1	454	2918	73
31870	ieee t syst man cy c	0.0306	0.2662	1	575	4930	110
31871	ieee t syst man cy-s	-0.2394	-0.1873	1	700	20420	465
31881	ieee t veh technol	1.3238	0.3194	4	757	516835	10540
31886	ieee t vis comput gr	-0.1195	0.4796	3	472	4047	73
31887	ieee t vlsi syst	-0.6121	0.6291	3	605	10232	226
31888	ieee t wirel commun	1.4321	0.5961	4	754	377373	8364
32136	ieee trust big	0.1291	-0.3938	2	525	4256	84
32141	ieee veh technol mag	0.9516	0.2976	4	730	41099	689
32160	ieee vts veh technol	0.8126	0.2283	4	714	24111	386
32163	ieee wcnc	1.1366	0.1221	4	725	44817	749
32167	ieee wint conf appl	-0.1104	0.8018	3	464	4244	74
32170	ieee wirel commun	0.9916	0.1187	4	757	173474	2977
32171	ieee wirel commun le	1.6414	0.4986	4	733	88086	1773
32174	ieee wirel communn	1.2424	-0.0449	4	579	10805	143
32200	ieee world congr ser	0.5937	-0.4172	2	453	3070	65
32208	ieee-acm t audio spe	-0.5887	0.483	1	403	2669	63
32209	ieee-asme t mech	-0.8244	-0.0364	1	398	3034	62
32210	ieee-caa j automatic	-0.1828	-0.2262	1	676	16968	325
32265	ieice t commun	0.8945	-0.0923	4	486	4930	113
32271	ieice t inf syst	-0.0818	-0.0973	1	430	2198	55
32293	iet commun	0.7241	-0.5853	4	678	21867	387
32309	iet gener transm dis	-1.0783	-0.6689	1	365	5044	67
32313	iet inform secur	-0.2592	-0.3156	1	375	2202	51
32316	iet intell transp sy	-0.2701	0.1323	1	545	5211	112
32322	iet netw	0.5523	-0.5159	2	568	6354	124
32337	iet wirel sens syst	-0.5209	-0.3946	1	455	3106	55
32339	iete j res	-0.5755	-0.2899	1	487	3129	56
32341	iete tech rev	-0.2648	-0.4886	1	521	4458	63
32375	ifac papersonline	-0.6478	-0.495	1	612	10767	174
32386	ifip adv inf comm te	-0.172	-0.4245	1	606	5732	100
32571	image vision comput	-0.6268	0.3602	1	413	2839	67
32596	img proc comp vis re	-0.2356	1.0081	3	479	6743	97
33167	inform fusion	-0.5128	0.0951	1	727	22924	444
33187	inform process lett	0.4271	0.1381	2	406	2114	64
33188	inform process manag	-0.393	-0.5969	1	582	8907	179
33196	inform sciences	-0.0176	-0.0261	1	749	53921	1232
33207	inform software tech	0.007	-0.632	1	560	7117	111
33209	inform syst	-0.0367	-0.3561	1	571	5180	113
33210	inform syst front	-0.2469	-0.2211	1	649	7501	138
33259	information	-0.3669	-0.5212	1	690	14344	248
33689	int c comp supp coop	0.1972	-0.3282	2	565	4961	77
33863	int c learn repr	-0.1012	0.7605	3	500	4021	64
33883	int c machine learni	0.1035	0.9419	3	446	3770	64
